layer,geoid,topic,stratification,period,value
Zip code,54913,FVDEWVAR,FEM3,2018-2019,28
Zip code,54913,FVDEWVAR,H,2018-2019,29
Zip code,54913,FVDEWVAR,MAL15,2018-2019,78
Zip code,54913,FVDEWVAR,NOT3,2018-2019,30
Zip code,54913,FVDEWVAR,Q,2018-2019,6
Zip code,54913,FVDEWVAR,SWD1,2018-2019,45
Zip code,54913,FVDEWVAR,SWO1,2018-2019,61
Zip code,54913,FVDEWVAR,UNK4,2018-2019,3
Zip code,54913,FVDEWVAR,UNK5,2018-2019,3
Zip code,54913,FVDEWVAR,W,2018-2019,47
Zip code,54913,FVDEWVAR,X1012,2018-2019,31
Zip code,54913,FVDEWVAR,X113,2018-2019,29
Zip code,54913,FVDEWVAR,X1210,2018-2019,11
Zip code,54913,FVDEWVAR,X9T3,2018-2019,35
