layer,geoid,topic,stratification,period,value
Zip code,54170,FVDEYLCV,X5T3,2024-2025,56
Zip code,54170,FVDEYLCV,X6T3,2024-2025,45
Zip code,54170,FVDEYLCV,X7T2,2024-2025,55
Zip code,54170,FVDEYLCV,X8T2,2024-2025,51
Zip code,54170,FVDEYLCV,X9T3,2024-2025,49
Zip code,54901,FVDEYLCV,,2024-2025,3748
Zip code,54901,FVDEYLCV,A,2024-2025,339
Zip code,54901,FVDEYLCV,AUT2,2024-2025,97
Zip code,54901,FVDEYLCV,B,2024-2025,673
Zip code,54901,FVDEYLCV,ECO1,2024-2025,2316
Zip code,54901,FVDEYLCV,EL1,2024-2025,470
Zip code,54901,FVDEYLCV,EMO1,2024-2025,80
Zip code,54901,FVDEYLCV,ENG3,2024-2025,3277
Zip code,54901,FVDEYLCV,FEM3,2024-2025,1210
Zip code,54901,FVDEYLCV,H,2024-2025,372
Zip code,54901,FVDEYLCV,INT7,2024-2025,20
Zip code,54901,FVDEYLCV,KIN2,2024-2025,272
Zip code,54901,FVDEYLCV,MAL15,2024-2025,1929
Zip code,54901,FVDEYLCV,NOT2,2024-2025,2992
Zip code,54901,FVDEYLCV,NOT3,2024-2025,1432
Zip code,54901,FVDEYLCV,NOT4,2024-2025,3365
Zip code,54901,FVDEYLCV,OTH52,2024-2025,114
Zip code,54901,FVDEYLCV,P,2024-2025,15
Zip code,54901,FVDEYLCV,P1,2024-2025,2
Zip code,54901,FVDEYLCV,Q,2024-2025,404
Zip code,54901,FVDEYLCV,SIG1,2024-2025,87
Zip code,54901,FVDEYLCV,SPE2,2024-2025,166
Zip code,54901,FVDEYLCV,SPE3,2024-2025,101
Zip code,54901,FVDEYLCV,SWD1,2024-2025,756
Zip code,54901,FVDEYLCV,SWO1,2024-2025,2992
Zip code,54901,FVDEYLCV,UNK2,2024-2025,91
Zip code,54901,FVDEYLCV,UNK4,2024-2025,1
Zip code,54901,FVDEYLCV,UNK7,2024-2025,609
Zip code,54901,FVDEYLCV,UNK9,2024-2025,383
